TIME_PERIOD,OBS_VALUE_energy
1995,10534500000.0
1995,1.87
1996,11111000000.0
1996,1.75
1997,12574600000.0
1997,1.79
1998,14274200000.0
1998,1.87
1999,15791000000.0
1999,1.89
2000,16454800000.0
2000,1.74
2001,16660300000.0
2001,1.59
2002,17364200000.0
2002,1.43
2003,18193800000.0
2003,1.37
2004,20164400000.0
2004,1.37
2005,23756400000.0
2005,1.45
2006,25646140000.0
2006,1.39
2007,31431640000.0
2007,1.49
2008,32910660000.0
2008,1.39
2009,39331930000.0
2009,1.57
2010,49937110000.0
2010,1.82
2011,57737430000.0
2011,1.91
2012,63273900000.0
2012,1.95
2013,69698250000.0
2013,1.97
2014,76393870000.0
2014,2.01
2015,97952550000.0
2015,2.42
2016,102920470000.0
2016,2.36
2017,112441480000.0
2017,2.42
2018,119209330000.0
2018,2.45
2019,129336720000.0
2019,2.55
2020,124267700000.0
2020,2.5
2021,
2021,
