TIME_PERIOD,OBS_VALUE_env
1995,10907400000.0
1995,1.93
1996,11511200000.0
1996,1.81
1997,13293300000.0
1997,1.89
1998,16053800000.0
1998,2.11
1999,17565900000.0
1999,2.1
2000,18553100000.0
2000,1.96
2001,19188000000.0
2001,1.83
2002,20401700000.0
2002,1.68
2003,24258800000.0
2003,1.83
2004,26748700000.0
2004,1.81
2005,31225200000.0
2005,1.91
2006,34248210000.0
2006,1.86
2007,40849960000.0
2007,1.94
2008,39154390000.0
2008,1.65
2009,45280420000.0
2009,1.81
2010,57413350000.0
2010,2.09
2011,67579230000.0
2011,2.24
2012,74398830000.0
2012,2.29
2013,81965610000.0
2013,2.32
2014,88782850000.0
2014,2.33
2015,111307350000.0
2015,2.75
2016,116546980000.0
2016,2.67
2017,129232390000.0
2017,2.78
2018,137412850000.0
2018,2.82
2019,149474740000.0
2019,2.94
2020,144987170000.0
2020,2.92
2021,
2021,
